O:\ztree1\160412_1510.xls
160412_1510	1	summary	
160412_1510	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	
160412_1510	1	session	1	5	0	0	0	5	5	
160412_1510	1	session	2	6.5	0	0	0	6.5	6.5	
160412_1510	1	session	3	7	0	0	0	7	7	
160412_1510	1	session	4	5	0	0	0	5	5	
160412_1510	1	session	5	6	0	0	0	6	6	
160412_1510	1	session	6	5	0	0	0	5	5	
160412_1510	1	session	7	3.5	0	0	0	3.5	3.5	
160412_1510	1	session	8	5	0	0	0	5	5	
160412_1510	1	session	9	4	0	0	0	4	4	
160412_1510	1	session	10	7	0	0	0	7	7	
160412_1510	1	session	11	6.5	0	0	0	6.5	6.5	
160412_1510	1	session	12	5	0	0	0	5	5	
160412_1510	1	session	13	7	0	0	0	7	7	
160412_1510	1	session	14	2	0	0	0	2	2	
160412_1510	1	session	15	6	0	0	0	6	6	
160412_1510	1	session	16	5	0	0	0	5	5	
160412_1510	1	session	17	7	0	0	0	7	7	
160412_1510	1	session	18	7	0	0	0	7	7	
160412_1510	1	session	19	5	0	0	0	5	5	
160412_1510	1	session	20	7	0	0	0	7	7	
160412_1510	1	session	21	7	0	0	0	7	7	
160412_1510	1	session	22	7	0	0	0	7	7	
160412_1510	1	session	23	5	0	0	0	5	5	
160412_1510	1	session	24	6.9	0	0	0	6.9	6.9	
160412_1510	1	session	25	6	0	0	0	6	6	
160412_1510	1	session	26	5	0	0	0	5	5	
160412_1510	1	session	27	7	0	0	0	7	7	
