
160412_1510	1	summary	Period	
160412_1510	1	summary	1	
160412_1510	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	
160412_1510	1	session	1	0	0	0	0	0	0	
160412_1510	1	session	2	0	0	0	0	0	0	
160412_1510	1	session	3	0	0	0	0	0	0	
160412_1510	1	session	4	0	0	0	0	0	0	
160412_1510	1	session	5	0	0	0	0	0	0	
160412_1510	1	session	6	0	0	0	0	0	0	
160412_1510	1	session	7	0	0	0	0	0	0	
160412_1510	1	session	8	0	0	0	0	0	0	
160412_1510	1	session	9	0	0	0	0	0	0	
160412_1510	1	session	10	0	0	0	0	0	0	
160412_1510	1	session	11	0	0	0	0	0	0	
160412_1510	1	session	12	0	0	0	0	0	0	
160412_1510	1	session	13	0	0	0	0	0	0	
160412_1510	1	session	14	0	0	0	0	0	0	
160412_1510	1	session	15	0	0	0	0	0	0	
160412_1510	1	session	16	0	0	0	0	0	0	
160412_1510	1	session	17	0	0	0	0	0	0	
160412_1510	1	session	18	0	0	0	0	0	0	
160412_1510	1	session	19	0	0	0	0	0	0	
160412_1510	1	session	20	0	0	0	0	0	0	
160412_1510	1	session	21	0	0	0	0	0	0	
160412_1510	1	session	22	0	0	0	0	0	0	
160412_1510	1	session	23	0	0	0	0	0	0	
160412_1510	1	session	24	0	0	0	0	0	0	
160412_1510	1	session	25	0	0	0	0	0	0	
160412_1510	1	session	26	0	0	0	0	0	0	
160412_1510	1	session	27	0	0	0	0	0	0	
