O:\ztree1\160414_1035.xls
160414_1035	1	summary	
160414_1035	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	
160414_1035	1	session	1	5	0	0	0	5	5	
160414_1035	1	session	2	6	0	0	0	6	6	
160414_1035	1	session	3	6.3	0	0	0	6.3	6.3	
160414_1035	1	session	4	5	0	0	0	5	5	
160414_1035	1	session	5	3.5	0	0	0	3.5	3.5	
160414_1035	1	session	6	6	0	0	0	6	6	
160414_1035	1	session	7	6.5	0	0	0	6.5	6.5	
160414_1035	1	session	8	5	0	0	0	5	5	
160414_1035	1	session	9	7	0	0	0	7	7	
160414_1035	1	session	10	4	0	0	0	4	4	
160414_1035	1	session	11	7	0	0	0	7	7	
160414_1035	1	session	12	7	0	0	0	7	7	
160414_1035	1	session	13	4.5	0	0	0	4.5	4.5	
160414_1035	1	session	14	5	0	0	0	5	5	
160414_1035	1	session	15	7	0	0	0	7	7	
160414_1035	1	session	16	6.5	0	0	0	6.5	6.5	
160414_1035	1	session	17	5	0	0	0	5	5	
160414_1035	1	session	18	4.7	0	0	0	4.7	4.7	
160414_1035	1	session	19	6	0	0	0	6	6	
160414_1035	1	session	20	6	0	0	0	6	6	
160414_1035	1	session	21	7	0	0	0	7	7	
160414_1035	1	session	22	7	0	0	0	7	7	
160414_1035	1	session	23	5	0	0	0	5	5	
160414_1035	1	session	24	3	0	0	0	3	3	
160414_1035	1	session	25	5.5	0	0	0	5.5	5.5	
160414_1035	1	session	26	5.6	0	0	0	5.6	5.6	
160414_1035	1	session	27	5	0	0	0	5	5	
160414_1035	1	session	28	4.5	0	0	0	4.5	4.5	
160414_1035	1	session	29	7	0	0	0	7	7	
