O:\ztree1\160414_1333.xls
160414_1333	1	summary	
160414_1333	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	
160414_1333	1	session	1	5	0	0	0	5	5	
160414_1333	1	session	2	5	0	0	0	5	5	
160414_1333	1	session	3	3.5	0	0	0	3.5	3.5	
160414_1333	1	session	4	6	0	0	0	6	6	
160414_1333	1	session	5	6	0	0	0	6	6	
160414_1333	1	session	6	6	0	0	0	6	6	
160414_1333	1	session	7	6.5	0	0	0	6.5	6.5	
160414_1333	1	session	8	7	0	0	0	7	7	
160414_1333	1	session	9	7	0	0	0	7	7	
160414_1333	1	session	10	0	0	0	0	0	0	
160414_1333	1	session	11	7	0	0	0	7	7	
160414_1333	1	session	12	2	0	0	0	2	2	
160414_1333	1	session	13	4	0	0	0	4	4	
160414_1333	1	session	14	5.5	0	0	0	5.5	5.5	
160414_1333	1	session	15	6	0	0	0	6	6	
160414_1333	1	session	16	7	0	0	0	7	7	
160414_1333	1	session	17	6.5	0	0	0	6.5	6.5	
160414_1333	1	session	18	6	0	0	0	6	6	
160414_1333	1	session	19	7	0	0	0	7	7	
160414_1333	1	session	20	5	0	0	0	5	5	
160414_1333	1	session	21	6	0	0	0	6	6	
160414_1333	1	session	22	5	0	0	0	5	5	
160414_1333	1	session	23	7	0	0	0	7	7	
160414_1333	1	session	24	7	0	0	0	7	7	
160414_1333	1	session	25	4.5	0	0	0	4.5	4.5	
160414_1333	1	session	26	6	0	0	0	6	6	
