O:\ztree1\160414_1515.xls
160414_1515	1	summary	
160414_1515	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	
160414_1515	1	session	1	6.5	0	0	0	6.5	6.5	
160414_1515	1	session	2	6	0	0	0	6	6	
160414_1515	1	session	3	7	0	0	0	7	7	
160414_1515	1	session	4	0	0	0	0	0	0	
160414_1515	1	session	5	6	0	0	0	6	6	
160414_1515	1	session	6	7	0	0	0	7	7	
160414_1515	1	session	7	7	0	0	0	7	7	
160414_1515	1	session	8	6	0	0	0	6	6	
160414_1515	1	session	9	7	0	0	0	7	7	
160414_1515	1	session	10	5	0	0	0	5	5	
160414_1515	1	session	11	6	0	0	0	6	6	
160414_1515	1	session	12	7	0	0	0	7	7	
160414_1515	1	session	13	7	0	0	0	7	7	
160414_1515	1	session	14	0	0	0	0	0	0	
160414_1515	1	session	15	3	0	0	0	3	3	
160414_1515	1	session	16	6	0	0	0	6	6	
160414_1515	1	session	17	7	0	0	0	7	7	
160414_1515	1	session	18	4	0	0	0	4	4	
160414_1515	1	session	19	7	0	0	0	7	7	
160414_1515	1	session	20	4	0	0	0	4	4	
160414_1515	1	session	21	5	0	0	0	5	5	
160414_1515	1	session	22	5	0	0	0	5	5	
160414_1515	1	session	23	5	0	0	0	5	5	
160414_1515	1	session	24	5	0	0	0	5	5	
160414_1515	1	session	25	3.5	0	0	0	3.5	3.5	
160414_1515	1	session	26	7	0	0	0	7	7	
160414_1515	1	session	27	4	0	0	0	4	4	
