O:\ztree1\160419_1342.xls
160419_1342	1	summary	
160419_1342	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	
160419_1342	1	session	1	6.5	0	0	0	6.5	6.5	
160419_1342	1	session	2	5	0	0	0	5	5	
160419_1342	1	session	3	5	0	0	0	5	5	
160419_1342	1	session	4	2	0	0	0	2	2	
160419_1342	1	session	5	7	0	0	0	7	7	
160419_1342	1	session	6	4.5	0	0	0	4.5	4.5	
160419_1342	1	session	7	7	0	0	0	7	7	
160419_1342	1	session	8	5	0	0	0	5	5	
160419_1342	1	session	9	7	0	0	0	7	7	
160419_1342	1	session	10	7	0	0	0	7	7	
160419_1342	1	session	11	6	0	0	0	6	6	
160419_1342	1	session	12	5	0	0	0	5	5	
160419_1342	1	session	13	3	0	0	0	3	3	
160419_1342	1	session	14	3	0	0	0	3	3	
160419_1342	1	session	15	7	0	0	0	7	7	
160419_1342	1	session	16	2	0	0	0	2	2	
160419_1342	1	session	17	7	0	0	0	7	7	
160419_1342	1	session	18	7	0	0	0	7	7	
160419_1342	1	session	19	5	0	0	0	5	5	
160419_1342	1	session	20	7	0	0	0	7	7	
160419_1342	1	session	21	6.5	0	0	0	6.5	6.5	
160419_1342	1	session	22	6.9	0	0	0	6.9	6.9	
160419_1342	1	session	23	5	0	0	0	5	5	
160419_1342	1	session	24	7	0	0	0	7	7	
160419_1342	1	session	25	7	0	0	0	7	7	
160419_1342	1	session	26	7	0	0	0	7	7	
160419_1342	1	session	27	2.4	0	0	0	2.4	2.4	
