O:\ztree1\160419_1040.xls
160419_1040	1	summary	
160419_1040	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	
160419_1040	1	session	1	5	0	0	0	5	5	
160419_1040	1	session	2	7	0	0	0	7	7	
160419_1040	1	session	3	4	0	0	0	4	4	
160419_1040	1	session	4	6.5	0	0	0	6.5	6.5	
160419_1040	1	session	5	6	0	0	0	6	6	
160419_1040	1	session	6	7	0	0	0	7	7	
160419_1040	1	session	7	6.9	0	0	0	6.9	6.9	
160419_1040	1	session	8	7	0	0	0	7	7	
160419_1040	1	session	9	2	0	0	0	2	2	
160419_1040	1	session	10	7	0	0	0	7	7	
160419_1040	1	session	11	5	0	0	0	5	5	
160419_1040	1	session	12	5	0	0	0	5	5	
160419_1040	1	session	13	0	0	0	0	0	0	
160419_1040	1	session	14	5.5	0	0	0	5.5	5.5	
160419_1040	1	session	15	6	0	0	0	6	6	
160419_1040	1	session	16	2	0	0	0	2	2	
160419_1040	1	session	17	6.5	0	0	0	6.5	6.5	
160419_1040	1	session	18	6.5	0	0	0	6.5	6.5	
160419_1040	1	session	19	0	0	0	0	0	0	
160419_1040	1	session	20	4	0	0	0	4	4	
160419_1040	1	session	21	5	0	0	0	5	5	
160419_1040	1	session	22	6.5	0	0	0	6.5	6.5	
160419_1040	1	session	23	6	0	0	0	6	6	
160419_1040	1	session	24	6	0	0	0	6	6	
160419_1040	1	session	25	5	0	0	0	5	5	
160419_1040	1	session	26	4	0	0	0	4	4	
