O:\ztree2\160620_1440.xls
160620_1440	1	summary	
160620_1440	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	
160620_1440	1	session	1	6.5	0	0	0	6.5	6.5	
160620_1440	1	session	2	7	0	0	0	7	7	
160620_1440	1	session	3	6.5	0	0	0	6.5	6.5	
160620_1440	1	session	4	7	0	0	0	7	7	
160620_1440	1	session	5	5	0	0	0	5	5	
160620_1440	1	session	6	5	0	0	0	5	5	
160620_1440	1	session	7	7	0	0	0	7	7	
160620_1440	1	session	8	6	0	0	0	6	6	
160620_1440	1	session	9	5	0	0	0	5	5	
160620_1440	1	session	10	5	0	0	0	5	5	
160620_1440	1	session	11	5	0	0	0	5	5	
160620_1440	1	session	12	4.5	0	0	0	4.5	4.5	
160620_1440	1	session	13	7	0	0	0	7	7	
160620_1440	1	session	14	2	0	0	0	2	2	
160620_1440	1	session	15	5	0	0	0	5	5	
160620_1440	1	session	16	5	0	0	0	5	5	
160620_1440	1	session	17	5	0	0	0	5	5	
160620_1440	1	session	18	5	0	0	0	5	5	
160620_1440	1	session	19	6.4	0	0	0	6.4	6.4	
160620_1440	1	session	20	5	0	0	0	5	5	
160620_1440	1	session	21	4	0	0	0	4	4	
160620_1440	1	session	22	0	0	0	0	0	0	
160620_1440	1	session	23	5	0	0	0	5	5	
160620_1440	1	session	24	2	0	0	0	2	2	
160620_1440	1	session	25	0	0	0	0	0	0	
160620_1440	1	session	26	5	0	0	0	5	5	
160620_1440	1	session	27	6	0	0	0	6	6	
